epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.759,2.11573,3.49304,1.82171,0.32254,0.26656,0.19346,0.07525,2.04005,2.63633,1.77891,0.00333194,0.00333194,0.00333194
2,363.052,2.03639,2.76672,1.73587,0.29695,0.25393,0.1922,0.07698,2.01639,2.42334,1.84223,0.00659928,0.00659928,0.00659928
3,537.018,2.09345,2.63868,1.80091,0.39068,0.20532,0.16269,0.06509,2.13337,2.58421,1.90967,0.00980063,0.00980063,0.00980063
4,710.335,2.10462,2.6076,1.8418,0.33684,0.30232,0.23472,0.09317,1.99904,2.30946,1.82518,0.009703,0.009703,0.009703
5,883.416,2.03584,2.47668,1.79278,0.3571,0.30903,0.25434,0.10783,1.96085,2.2412,1.7788,0.009604,0.009604,0.009604
6,1056.27,1.98802,2.40678,1.76633,0.37761,0.35883,0.29792,0.12813,1.90758,2.13877,1.72521,0.009505,0.009505,0.009505
7,1228.85,1.96361,2.33618,1.74172,0.3996,0.35692,0.30689,0.13566,1.86488,2.09686,1.71933,0.009406,0.009406,0.009406
8,1401.41,1.9249,2.28722,1.718,0.38427,0.36654,0.31521,0.14184,1.85445,2.03803,1.69732,0.009307,0.009307,0.009307
9,1574.58,1.90832,2.24609,1.70052,0.42645,0.37541,0.34102,0.15527,1.83383,1.99485,1.67292,0.009208,0.009208,0.009208
10,1747.01,1.89461,2.20941,1.68757,0.42419,0.38839,0.34118,0.15493,1.83325,1.98392,1.70412,0.009109,0.009109,0.009109
11,1919.44,1.87815,2.17172,1.67489,0.45824,0.39509,0.37238,0.16893,1.81608,1.95101,1.68022,0.00901,0.00901,0.00901
12,2092.21,1.8649,2.1532,1.66724,0.47594,0.40156,0.38651,0.17724,1.78974,1.92308,1.64959,0.008911,0.008911,0.008911
13,2264.9,1.855,2.14295,1.65482,0.4813,0.40971,0.39687,0.1836,1.79119,1.89286,1.64482,0.008812,0.008812,0.008812
14,2437.85,1.84596,2.11452,1.6484,0.47518,0.41823,0.40517,0.18989,1.76283,1.8724,1.63077,0.008713,0.008713,0.008713
15,2610.81,1.83413,2.09577,1.63692,0.49234,0.4233,0.4166,0.19555,1.75188,1.85405,1.61331,0.008614,0.008614,0.008614
16,2783.39,1.83581,2.08328,1.63629,0.49273,0.41955,0.41839,0.19801,1.74808,1.82728,1.60751,0.008515,0.008515,0.008515
17,2955.66,1.82261,2.05331,1.62273,0.49059,0.42987,0.41067,0.19673,1.74369,1.81481,1.59403,0.008416,0.008416,0.008416
18,3127.99,1.81292,2.04481,1.61331,0.5127,0.42758,0.42969,0.20591,1.73533,1.81017,1.59832,0.008317,0.008317,0.008317
19,3300.1,1.81392,2.04263,1.61969,0.5127,0.44012,0.44027,0.21217,1.72271,1.78036,1.58008,0.008218,0.008218,0.008218
20,3472.34,1.80219,2.02595,1.60871,0.5315,0.44214,0.45125,0.21676,1.71699,1.76732,1.58339,0.008119,0.008119,0.008119
21,3643.85,1.79781,2.00971,1.60111,0.52367,0.46265,0.45997,0.22279,1.71173,1.74473,1.57506,0.00802,0.00802,0.00802
22,12355.4,1.79239,1.98847,1.59715,0.54916,0.45229,0.46755,0.22691,1.70314,1.73714,1.56898,0.007921,0.007921,0.007921
23,12538.4,1.78276,1.98237,1.59792,0.54274,0.45694,0.46647,0.22831,1.69343,1.73415,1.5666,0.007822,0.007822,0.007822
24,12711.8,1.78722,1.97993,1.59543,0.54347,0.45726,0.47035,0.2285,1.69968,1.72052,1.56476,0.007723,0.007723,0.007723
25,12893.1,1.77963,1.95612,1.58867,0.55828,0.45755,0.47611,0.23129,1.69313,1.70395,1.55843,0.007624,0.007624,0.007624
26,13070.1,1.77422,1.95084,1.58334,0.53996,0.4652,0.47657,0.23485,1.68462,1.69221,1.55065,0.007525,0.007525,0.007525
27,13248.7,1.76209,1.94204,1.5771,0.54854,0.47374,0.48098,0.23807,1.67815,1.68541,1.54787,0.007426,0.007426,0.007426
28,13427.1,1.76461,1.93004,1.56964,0.55725,0.47014,0.48966,0.24124,1.68252,1.67367,1.54047,0.007327,0.007327,0.007327
29,13606.3,1.76375,1.92118,1.57304,0.5518,0.47459,0.48684,0.24162,1.67074,1.66519,1.53709,0.007228,0.007228,0.007228
30,13784.9,1.74959,1.9206,1.56466,0.5634,0.47203,0.49176,0.24467,1.66486,1.66293,1.53668,0.007129,0.007129,0.007129
31,13963.6,1.74764,1.89775,1.56028,0.56437,0.47467,0.49934,0.24971,1.66581,1.64843,1.53326,0.00703,0.00703,0.00703
32,14142.2,1.74467,1.89018,1.56092,0.57293,0.47837,0.50315,0.2515,1.66202,1.63979,1.52856,0.006931,0.006931,0.006931
33,14321.5,1.74296,1.89624,1.55191,0.56884,0.47979,0.50261,0.2519,1.65793,1.63729,1.52308,0.006832,0.006832,0.006832
34,14501.3,1.73322,1.88398,1.54882,0.58094,0.47513,0.50543,0.25357,1.65299,1.62754,1.52015,0.006733,0.006733,0.006733
35,14680.7,1.73363,1.87077,1.54622,0.57327,0.47712,0.50907,0.25589,1.65145,1.62044,1.51687,0.006634,0.006634,0.006634
36,14860.5,1.73312,1.86042,1.54455,0.57707,0.48823,0.5118,0.2576,1.65092,1.61223,1.51813,0.006535,0.006535,0.006535
37,15039.9,1.72539,1.8528,1.54185,0.57239,0.48901,0.51208,0.25721,1.64907,1.61116,1.51601,0.006436,0.006436,0.006436
